lat lon EWID NMID EW_abu_m2 Bacterivores Fungivores Herbivores Omnivores Predators Unidentified Total_Number
18.31 -65.83 9603.5 338 344 26.5 16.5 86.5 4 28.5 1 163
38.04 -8.77 4568 589 14.75 128 43 10 5 1 0 187
38.51 -122.03 9084 596 222.20000000000002 1352.375 1010 438.875 340.75 198.75 0 3340.625
38.51 -121.85 9083 597 18.5 389.75 503.5 929.5 264 7.75 0 2095
38.51 -121.83 9083 598 18.5 1649.5 247.2 812.7 142.3 26 0 2877.5
38.52 -122.01 9084 599 222.20000000000002 406.35714285714283 234.14285714285714 449.64285714285717 108 18.357142857142858 0 1216.5
38.52 -121.87 9083 600 18.5 1380.1764705882354 609.9411764705883 691.1764705882352 65.58823529411765 88.29411764705883 0 2834.9411764705883
38.53 -121.79 9079 597 81.5 389.75 503.5 929.5 264 7.75 0 2095
38.53 -121.77 9079 598 81.5 1649.5 247.2 812.7 142.3 26 0 2877.5
38.54 -121.82 9079 600 81.5 1380.1764705882354 609.9411764705883 691.1764705882352 65.58823529411765 88.29411764705883 0 2834.9411764705883
38.56 -121.9 9076.5 600 9.25 1380.1764705882354 609.9411764705883 691.1764705882352 65.58823529411765 88.29411764705883 0 2834.9411764705883
38.57 -122.01 9075 599 20.35 406.35714285714283 234.14285714285714 449.64285714285717 108 18.357142857142858 0 1216.5
38.58 -121.97 9076.5 602 9.25 170 54.666666666666664 174.5 41 0.6666666666666666 0 440.8333333333333
38.59 -122 9075 602 20.35 170 54.666666666666664 174.5 41 0.6666666666666666 0 440.8333333333333
38.59 -121.97 9076.5 603 9.25 131 59.666666666666664 80.66666666666667 79 1.3333333333333333 0 352
38.59 -121.96 9076.5 604 9.25 209 75.11111111111111 226.33333333333334 45.77777777777778 1.8888888888888888 0 558.4444444444445
38.6 -122.02 9075 605 20.35 48.77777777777778 104.66666666666667 173 9.222222222222221 0 0 335.77777777777777
38.6 -122 9075 603 20.35 131 59.666666666666664 80.66666666666667 79 1.3333333333333333 0 352
38.6 -121.98 9075 604 20.35 209 75.11111111111111 226.33333333333334 45.77777777777778 1.8888888888888888 0 558.4444444444445
38.6 -121.95 9076.5 609 9.25 163.33333333333334 230 59.111111111111114 56.333333333333336 0.1111111111111111 0 508.6666666666667
38.6 -8.28 4542 606 34.5 281 382 125 35 0 0 823
38.61 -122.03 9075 607 20.35 120.55555555555556 184 178.55555555555554 20.88888888888889 2.2222222222222223 0 506.44444444444446
38.61 -122.02 9075 608 20.35 29.77777777777778 52.22222222222222 138.88888888888889 13.666666666666666 0.2222222222222222 0 234.55555555555554
38.61 -122.01 9075 610 20.35 65.11111111111111 76.66666666666667 211.33333333333334 17.333333333333332 0 0 370.44444444444446
38.61 -122 9075 611.5 20.35 105.33333333333333 78.83333333333334 235.77777777777777 26.055555555555557 0.8333333333333333 0 446.77777777777777
38.61 -121.98 9076.5 611.6666666666666 9.25 78.48148148148148 83.74074074074075 270.14814814814815 19.40740740740741 0.6666666666666667 0 452.44444444444446
38.61 -121.97 9075.75 610.5 14.8 157 159.5 164.88888888888891 45.55555555555556 0.5 0 527.3333333333334
38.61 -121.96 9076 616 12.950000000000001 72.85185185185185 107.77777777777779 128.14814814814815 15.037037037037038 0.037037037037037035 0 323.85185185185185
38.61 -121.94 9076.5 615.6666666666666 9.25 77.29629629629629 117.62962962962963 46.72222222222222 10.11111111111111 0.1111111111111111 0 252
38.61 -8.25 4544 606 19 281 382 125 35 0 0 823
38.62 -122.02 9075 618.5 20.35 14.666666666666668 28 141.75 8.75 0 0 193.16666666666666
38.62 -122 9075 614 20.35 110.33333333333333 105.88888888888889 398.22222222222223 23.555555555555557 1.2222222222222223 0 639.3333333333334
38.62 -121.98 9075 617.5 20.35 49.33333333333333 74.05555555555556 151.72222222222223 16.555555555555557 0.05555555555555555 0 291.77777777777777
38.62 -121.96 9075 617 20.35 56 88.83333333333334 29.583333333333336 9.166666666666666 0.16666666666666666 0 184
38.62 -121.95 9076.5 622 9.25 201.54166666666666 194.04166666666666 219.33333333333334 33.625 1.25 0 649.9166666666666
38.63 -121.99 9075 623 20.35 155.33333333333334 112.33333333333333 41.5 12.833333333333334 0.3333333333333333 0 322.1666666666667
38.63 -121.97 9075 622 20.35 201.54166666666666 194.04166666666666 219.33333333333334 33.625 1.25 0 649.9166666666666
38.63 -8.24 4543 606 18 281 382 125 35 0 0 823
38.66 -122.07 9081 607 11.1 120.55555555555556 184 178.55555555555554 20.88888888888889 2.2222222222222223 0 506.44444444444446
38.66 -122.06 9081 608 11.1 29.77777777777778 52.22222222222222 138.88888888888889 13.666666666666666 0.2222222222222222 0 234.55555555555554
38.66 -121.91 9079.5 614 11.100000000000001 90.44444444444444 130.61111111111111 53.166666666666664 8.333333333333334 0 0 282.6666666666667
38.67 -122.05 9081 611.6666666666666 11.1 78.48148148148148 83.74074074074075 270.14814814814815 19.40740740740741 0.6666666666666667 0 452.44444444444446
38.67 -121.93 9079.5 618 11.100000000000001 80.33333333333333 123.11111111111111 233.66666666666666 26.555555555555557 0 0 463.44444444444446
38.67 -121.91 9079.5 619 11.100000000000001 51 91.66666666666667 33.833333333333336 13.666666666666666 0.3333333333333333 0 190.66666666666666
38.68 -122.07 9081 618.5 11.1 14.666666666666668 28 141.75 8.75 0 0 193.16666666666666
